artist,album,track
Nirvana,In Utero - 20th Anniversary Remaster,Scentless Apprentice
Sleater-Kinney,No Cities to Love,Bury Our Friends
Tacocat,This Mess Is a Place,Rose-Colored Sky
Nirvana,In Utero - 20th Anniversary Remaster,Very Ape
Mirah,(A)SPERA,While We Have The Sun
Björk,Vespertine,Frosti
Björk,Vespertine,Undo
Mitski,Puberty 2,Thursday Girl
Björk,Vulnicura,Family
Kali Uchis,la luz(Fín),la luz(Fín)
Jidenna,The Chief,Some Kind of Way
Sango,In The Comfort Of,Mateo 2.19 (feat. Romaro Franceswa & Dave B)
AZ,The Format (Special Edition),The Format
Nirvana,MTV Unplugged In New York,On A Plain
Björk,Debut,The Anchor Song
Mitski,Puberty 2,Happy
Loudon Wainwright III,Attempted Mustache,The Swimming Song
Tori Amos,The Light Princess,My Own Land
Mitski,Bury Me At Makeout Creek,Drunk Walk Home
Little Boots,Nocturnes,Motorway
Steven Universe,"Steven Universe, Vol. 1 (Original Soundtrack)",Giant Woman
Tori Amos,The Light Princess,The Whistleblower
Headrillaz,The Funky Breaks,Get Yourself Organized
T.I.,Us Or Else: Letter To The System,Writer
T.I.,Us Or Else: Letter To The System,We Will Not
Steven Universe,"Steven Universe, Vol. 1 (Original Soundtrack)",Destiny
Steven Universe,"Steven Universe, Vol. 1 (Original Soundtrack)",We Are the Crystal Gems (Full Theme Song)
Björk,Utopia,Body Memory
Jidenna,The Chief,Little Bit More
Björk,Debut,Crying
Mitski,Be the Cowboy,Geyser
Taylor Swift,reputation,Delicate
Mitski,"Retired from Sad, New Career in Business",Circle
Mitski,Be the Cowboy,A Horse Named Cold Air
Goodie Mob,Special Education (feat. Janelle Monáe),Special Education (feat. Janelle Monáe)
Steven Universe,"Steven Universe, Vol. 1 (Original Soundtrack)",On the Run
Juvenile,Juve The Great,Slow Motion
Cardi B,Invasion of Privacy,Money Bag
Taylor Swift,reputation,...Ready For It?
Jidenna,The Chief,The Let Out (feat. Nana Kwabena)
Big Freedia,Rent,Rent
Nirvana,MTV Unplugged In New York,All Apologies
T.I.,Us Or Else: Letter To The System,Warzone
Beirut,The Flying Club Cup,Cliquot
Björk,Utopia,Losss
Cardi B,Invasion of Privacy,Ring (feat. Kehlani)
Nirvana,MTV Unplugged In New York,Plateau
"Tyler, The Creator",Flower Boy,See You Again (feat. Kali Uchis)
Mitski,Be the Cowboy,Pink in the Night
Taylor Swift,reputation,So It Goes...
Mirah,Understanding,Information
T.I.,Us Or Else: Letter To The System,Black Man
Nirvana,In Utero - 20th Anniversary Remaster,Dumb
Mitski,Puberty 2,My Body's Made of Crushed Little Stars
Taylor Swift,reputation,King Of My Heart
Beirut,The Flying Club Cup,The Penalty
Mirah,Changing Light,No Direction Home
Steven Universe,"Steven Universe, Vol. 1 (Original Soundtrack)",Strong in the Real Way
